이름,플랫폼,작가,그림,장르,상태,요일,조회수,별점,총화수,무료,무료주기,키워드,줄거리,첫화링크
나쁜 아내,kakaopage,모연,모연,로맨스,완결,완결,443.3만,9.9,65,3,3일,"현대로맨스,사내연애,오피스물,다정남,상처남,순정남,연하남,재벌남,존댓말남,직진남,능력녀,걸크러쉬,사이다녀,계약관계,드라마","늦은 밤, 팀장의 지시에 회사로 향한 은상부탁받은 서류를 찾던 중 탕비실에서 야릇한 소리를 듣게 된다 그러나 그 소리의 주인공이 자신의 남자친구라는 것을 알게 된다 충격적인 상황 속에서 그녀를 구해 준 것은 사장인 경우였다 그 후 경우의 도움으로 남자친구가 퇴사하고, 이별로 모든 일이 끝났다고 생각한 은상 하지만 그날 밤 일이 사내에 퍼지며 당사자로 몰릴 위기에 놓인다 그러자 경우는 그녀를 위기에서 구해 주겠다며 황당한 제안을 해오는데 “법적인 아내가 되어 준다면, 원하는 모든 것을 해 드리죠”모두를 속이고 원하는 것을 얻기 위해 계약된, 사랑 없는 부부생활 은상은 제게 주어진 역할 대로 철저히 나쁜 아내를 연기한다 그러나 경우는 자꾸 계약 이상의 감정을 부딪쳐 오는데…… 은상은 과연, 끝까지 ‘나쁜 아내’를 연기해 낼 수 있을까?",https://page.kakao.com/content/59214798
폭군의 필드,kakaopage,,캡슐,판타지,완결,완결,92.8만,9.8,50,3,1일,,"“네가 그러고도 국가대표냐 내가 해도 너보다는 잘하겠다”“답답하면 네가 한번 넣어보든가”응원하는 축구팀의 부진한 플레이에 울화통이 터진 프로레슬러 정호철축구 선수에 도발에 그대로 축구장에 난입하여 날린 슛 한방이 인생을 바꾸다거대하게 사고 친 정호철에게 돌아온 것은 구치소 행이 아닌, 구단의 입단 제의이젠 링 위가 아닌 레슬러가 아닌,축구장의 폭군으로 군림한다",https://page.kakao.com/content/57800905
유월의 복숭아,kakaopage,,38,로판,완결,완결,448.2만,9.9,48,4,3일,"로맨스판타지,회귀물,다정남,엉뚱발랄녀,로맨틱코미디","레아는 행복한 결혼을 꿈꿔왔다 두번이나 회귀를 했지만 두번 모두 행복한 결혼 생활은 시원하게 말아먹었고, 세번째 회귀를 했을 때 더는 결혼 따위 하지 않을 거라 결심을 했다 그렇게 굳게 다짐을 했는데도 결혼 전 잠깐 이야기를 나눴던 줄리앙이라는 남자가 자꾸 눈에 밟힌다 잘생긴 얼굴과 친절한 면모로 다가온 줄리앙의 청혼에 결국 흔들리게 되어 서약서를 쓰고 다시 결혼을 하게 되었다 결혼 후 줄리앙의 저택에서 신혼생활을 즐기던 중 줄리앙의 숨겨왔던 비밀의 방을 호기심에 들어가게 되면서 몰랐던 자신의 흔적을 발견하게 된다",https://page.kakao.com/content/59481128
그라티아,kakaopage,상민,기현,판타지,완결,완결,8.3만,10.0,235,24,3시간,"이종족,초능력,성직자,마교,전쟁,영웅/신화,선계","예수가 창조했다고 알려진 무한한 힘을 지닌 '권능의 열쇠'10년 전, 그것을 얻기 위해 나타난대악마 사탄으로 인해 뉴욕이 붕괴하고,살아남은 유일한 생존자, 전설의 엑소시스트 진오기는악마에게 빼앗긴 권능의 열쇠를 찾아 전 세계를 돌아다닌다열쇠의 흔적을 쫓아 서울에 도달한 진오기는씩씩한 소녀 길가온을 만나고,반 년 전에 자살로 죽은 친구 귀신을 지키는가온에게서 엑소시스트 가능성을 본다진오기를 만난 후,친구를 지키지 못했다는 죄책감을 지니고 있던 가온도소중한 사람을 지키기 위해 엑소시스트가 되기로 결심한다",https://page.kakao.com/content/62863733
빌런으로 이직하다,kakaopage,열문,"만도라, 연강",무협,완결,완결,134.3만,9.3,264,10,2일,"퓨전,깽판,먼치킨,복수,빙의,성장,시스템,천재,플레이어","사람을 구하려다 되려 배신당해 죽게 된, 주인공 그는 다음 생이 있다면 나쁘게 살리라 결심한다그렇게 죽음 후에 모든 것이 끝난 줄 알았지만, 그는 내공이 있는 세계의 소혁이라는 청년에게 빙의된다 자신을 '빌런 시스템'이라고 소개하는 목소리가 그의 목숨을 살리고 능력을 부여하기 시작했다 그는 과연 소혁의 몸으로 이 세계에서 시스템을 이용해 최강이 될 수 있을까?",https://page.kakao.com/content/56704884
낮에 뜨는 별,kakaopage,채은,고다고,로맨스,완결,완결,718.7만,10.0,77,3,3일,"현대로맨스,연예계물,오빠,능력남,자상녀,순진녀,상처녀,나이차커플,달달물,드라마,힐링물","대한민국 최고의 톱스타 강승현,7년째 중고 신인 황유라의 드라마틱 로맨스연기 하나만으로 성공하고자 했으나, 7년째 무명배우 신세인 황유라 그녀는 믿었던 남자친구에게 뒤통수를 맞는다 양다리를 걸치던 그가 유라를 잔인하게 차 버리고 더 좋은 배경의 여자와 결혼한 것이후 유라는 대작 냄새 폴폴 풍기는 영화의 단역을 맡게 되지만, 그녀의 고난은 끝나지 않는다 한겨울에 바다에 빠져야 하는 촬영에, 빽으로 주연을 차지한 전 남자친구와의 재회까지?결국 유라는 촬영장 구석에서 눈물 콧물을 쏟고 만다그때, 흥행 보증수표로 불리는 톱스타 강승현이 그녀를 발견하는데“내 방에서 자”“저, 그런 애 아닙니다”영화 촬영과 함께 시작되는 두 사람만의 비밀스럽고 간지러운 로맨스",https://page.kakao.com/content/55452896
무권,kakaopage,,하연,무협,휴재,휴재,157.4만,8.6,300,3,2일,"무림,생존,성장,조력자","영혼을 육체에 부여하는 힘, 무혼그러한 무혼을 구체화하여 여러 가지 능력을 사용해 전투에 임하는 자, '무권사'무문 북원(武門 北院) 장문인의 직속 제자인 영무는 동료와 함께모두가 탐내는 보물 '귀정부'를 탈취한 배신자를 잡고 귀정부를 되찾아오라는 임무를 받게 된다귀정부의 행방에 대한 단서를 포착한 그때, 그들에게 엄청난 시련이 닥쳐오는데…",https://page.kakao.com/content/53577125
범이 내려왔다,kakaopage,"블루라인 스튜디오, 스튜디오 그리고, 블루라인 스튜디오, 스튜디오 그리고","블루라인 스튜디오, 블루라인 스튜디오",액션,시즌 휴재,월,134.4만,9.5,50,3,1일,,"세상만사가 귀찮은 고2인 하선그는 이 세상에 존재하는 조금 특별한 존재인'초월자'를 알아볼 수 있는 능력을 갖고 있다 별다를 것 없는 일상을 보내던 어느 날 갑작스러운 초월자들의 습격을 받고 죽을 위기에 처하게 되는데이 충격으로 인해 하선이 가지고 있던 목걸이가 깨지고, 그 안에 봉인돼 있던 범이 모습을 드러내 하선을 구한다 범의 등장으로 인해 하선은 생활의 큰 변화를 맞이하게 되고그의 새로운 힘을 탐내는 불청객들로 하루하루가 바빠진다과연 하선과 범, 이 둘은 힘을 합쳐 그들을 쫓는 적들을 물리치고 과거의 비밀을 파헤칠 수 있을까? * * *[ ‘범이 내려왔다’는 그랜드크로스 유니버스 스토리입니다 ]웹소설_<방송 천재 도사 전우치>웹소설_<죽음의 신, 하 변호사>웹소설_<신 우렁각시전>웹툰_<오 필승 김과장>* * *",https://page.kakao.com/content/59439137
백합 하우스,kakaopage,정민,이부용,드라마,연재중,월,143.9만,9.9,64,4,3일,"미스터리,스릴러,추리물,현대물,범죄,작가,고퀄리티,기묘한,무서운,분량많은,스릴 넘치는,여주중심,이야기중심,연쇄살인,음모","여성전용원룸, 생각지도 못한 좋은 조건에, 꿈에 그리던 최고의 자취방을 얻었다이사한 첫날 밤,쿵 천장이 내려앉을 것만 같은 큰 소리에 잠이 깼다첫날부터 이웃과 감정 상하기는 하지만,이건 좀 너무한 거 아닌가?윗층에 올라가자, 열린 문 안으로 바닥에 쓰러진 여자가 보인다이사한 첫날 밤, 윗층 여자가 자살했다",https://page.kakao.com/content/60096304
8클래스 마법사의 회귀,kakaopage,,테스,판타지,완결,완결,"3,004.9만",9.9,82,4,3일,"퓨전,복수,회귀,먼치킨,천재,노력,성장,마법사","황제 라그나르와 통일 제국을 위해 손에 피를 묻히길 수십 년나는 고향으로 돌아가 속죄하며 죽은 듯이 살고자 했다그러나,“자네는 언제든지 나를, 나의 제국을 집어삼킬 수 있는 8클래스의 대마법사”“그런 괴물을 어찌 살려둘 수가 있겠나?”친구이자 주군이었던 라그나르에게 배신당하고 죽음의 문턱을 넘기 직전,시간 마법의 주문이 새겨진 단검을 심장에 찔러 넣었다‘내가 원했던 참회란, 모든 것을 되돌려놓는 것’인류 최초의 8클래스 마법사 이안 페이지그가 30년 전 과거로 돌아왔다",https://page.kakao.com/content/57140255
데드맨31,kakaopage,,신월,드라마,시즌 휴재,월,188.9만,10.0,84,3,3일,"추리물,판타지물,현대물,기억상실,범죄,전문직,초능력,재회물,짝사랑,첫사랑,경찰,탐정,노블코믹,이야기중심","수명을 거래하는 불사의 탐정 데드맨31일 안에 하나씩,고객만족을 최우선으로 만족하지 않더라도 만족시켜드립니다",https://page.kakao.com/content/57563035
마법사를 위한 동화,kakaopage,나종민,요하치(Yohachi),로판,완결,완결,46.2만,5.2,58,3,3일,"로맨스판타지,여주판타지,인외존재,상처녀,기억상실","[저도 당신같은 마법사가 될 수 있나요?]일곱 살에 가족을 잃고, 혼자가 된 소녀뒷골목에서 잠든 후 깨어나니 이미 그녀는 열 살이었다사라진 3년의 시간 유일한 기억은 누군가의 말 한마디뿐<아즈릴 아스테라 그것을 당신의 이름으로 합시다>그 후 다시 노예로, 귀족가의 매 맞는 아이로고통스러운 나날을 보내던 아즈릴은가장 비극적인 순간에 가장 절실했던 존재를 만난다“왜 이렇게 살고 있습니까?”그녀에게 이름을 지어 준 지평선의 마법사, 레마 레쉬트 그리고“저도 레마 같은 마법사가 될 수 있나요?”“당신이 마법사가 되면, 언젠가 제가 당신을 죽이게 될 겁니다”어떤 끝을 맞이할지는 알 수 없다그럼에도 아즈릴은 레마의 진실을, 그리고 진심을 알기 위해 기꺼이 그와 함께하기로 한다행복한 동화 같은 결말을 위해서",https://page.kakao.com/content/58974724
핸드메이드,kakaopage,,냔,로판,완결,완결,361.4만,9.9,85,3,3일,,"대한민국, 89세의 할머니는 이승에서 천수를 누리고고통 없는 좋은 곳에서 편히 쉴 줄 알았지만?""빨리 일어나서 옷 챙겨 입고, 일해""열다섯 살, 윈스턴 자작가의 하녀로 회귀한 할미, 아니 하미뛰어난 손재주로 자작가 사람들 모두 그녀에게 입덕하는데잘생긴데다 잔망도 쩌는 도련님, 카시안이 괴롭혀 오지만정신은 89세인 하미의 눈에는 그저 손자같아 '오구오구' 귀여울 뿐그러던 중, 그녀는 한 점쟁이로부터 회귀의 비밀을 듣게 되는데실과 바늘만 있으면 뭐든 만들어 내는,먼치킨 하녀의 우당탕 핸드메이드 인생",https://page.kakao.com/content/57903146
베이비 드래곤,kakaopage,,"도파라, 소홍",로판,완결,완결,924.3만,9.6,81,4,1일,,"19살 왕따 여고생 ‘나희주’의 기억을 갖고 다시 드래곤으로 환생한 ‘에일린 드 샤이아’처음으로 겪어 본 누구도 범접할 수 없는 강한 힘과 주변인들의 대가 없는 사랑과 친절이 너무 좋아 행복하기만 하다어떤 이는 그녀를 가지기 위해, 어떤 이는 그녀를 없애기 위해 필사의 노력을 기울이게 되는데",https://page.kakao.com/content/57736511
"답장을 주세요, 왕자님",kakaopage,티바,쭈냐,로판,완결,완결,7.1만,9.9,85,5,1일,"로맨스판타지,차원이동물,다정남,왕족/귀족,순정남,조신남,자상녀,외유내강,엉뚱발랄녀,로맨틱코미디,달달물,힐링물","코델리아 그레이 22살의 꿈많은 신입 편집자 동화책<공주와 기사>의 후속작 원고를 받으러 골동품 상점에 갔다가, 우연히 얻게 된 서책 보관함으로 동화 속 왕자님 아치와 편지를 주고받는다 소설 속 주인공과 대화를 나누게 된 일이 꿈만 같은 코델리아 자신이 사는 세상 속 미래를 알고 있는 코델리아의 조언이 절실한 아치 왕자 두 사람이 서책 보관함을 통해 주고받는 편지는 여름밤이 새는 줄도 모르고 계속되는데*원작: 유폴히 [웹소설] 답장을 주세요, 왕자님",https://page.kakao.com/content/63193754
천하제일 표사,kakaopage,"정재, 장담",류사,무협,휴재,휴재,215.8만,9.5,52,3,1일,,어느 날 천하제일인이 사라졌다그리고 산골 소년 소운 앞에 나타난 노인치매에 걸려 자신을 기억 못 하는데소운은 노인을 어릴 때 사라진 스승으로 알고정성스럽게 모시며 무공을 배운다육 년 후정신을 차리고 사라진 스승을 찾기 위해 소운은 풍천표국의 표사가 되고은혜를 베푼 소국주와 표국의 친구들과 뭉쳐서천하제일 표국을 만들기 위한 대장정을 시작하는데,https://page.kakao.com/content/58493971
슈퍼 큐브: 최강 고딩이 되는 법,kakaopage,SLSS,SLSS,액션,연재중,금,125.2만,9.6,367,8,2일,"시스템,천재,노력,성장,조력자,격투가,용사,이능력,초능력,무공,학생","평범한 고등학생이었던 한태오는 자신이 짝사랑하던 여자애도 자신을 좋아한다는 걸 알게 된다 하지만 그녀를 마음에 들어하는 일진에게 찍혀 그만 강에 빠지게 되는데그 강바닥에서 우연인듯 운명인듯 큐브 하나를 줍게 되었는데, 그 큐브가 그에게 비범한 능력을 가져다 줄 줄이야 신비한 큐브의 능력이 하나 둘씩 밝혀지고 평범했던 그의 일상이 조금씩 뒤틀리기 시작한다지구에서 가장 평범했던 고등학생 '한태오',그는 과연 세계 최강 고등학생이 될 수 있을까?",https://page.kakao.com/content/56608347
